Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3014.02397903722/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,Noble Address,Dydx Address
0xab2a15dd2e77c3b9452c3a452342c7e8ccc35b583c953ae02973d916c905a6b9,18675155,1701235355,2023-11-29 05:22:35,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004398973720331256,13.258612276233,2029.17,,,Receive Message,noble1ze2ye5u5k3qdlexvt2e0nn0508p040946ven7f,dydx1ze2ye5u5k3qdlexvt2e0nn0508p04094mkzlxs
0x85433dd078069eb7f4d67477e36f779d1ca8cea457fa6cecf28213297da5d0f1,18675801,1701243191,2023-11-29 07:33:11,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.005319890572440374,16.0342777511893,2029.17,,,Receive Message,noble1rnaljr6823sqdk5zeutt69pw8cv5zy7erhgek8,dydx1rnaljr6823sqdk5zeutt69pw8cv5zy7ezdn4w7
0xee50f6b5062dfbacdb6e1688e77dc4f968afda5351c3029a29d3f401534e7365,18675868,1701243995,2023-11-29 07:46:35,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.005411347622565675,16.309931493319,2029.17,,,Receive Message,noble1ypvhqp607n7q2xjhc34cuesesag2ss276rahvs,dydx1ypvhqp607n7q2xjhc34cuesesag2ss27mexm5f
0x7e72d4156c89426faeb225b258baa00a1dc2e8d6ac3dfdc328c0fd603fc4a2d8,18676111,1701246911,2023-11-29 08:35:11,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.00520908976707707,15.7003214669277,2029.17,,,Receive Message,noble15v0dztmsu6v34z77lrtk0hzusmvfhavu7xhyed,dydx15v0dztmsu6v34z77lrtk0hzusmvfhavuluvgp5
0x697f1bd2b68a92e83bb79f80a58cbcd2b3759059d64b7f8bcffa4e1461f96326,18676248,1701248567,2023-11-29 09:02:47,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.00500567284341066,15.0872179812552,2029.17,,,Receive Message,noble1la0mxx0cp7se7uvvrjuuhdfulv4mgst50exvd3,dydx1la0mxx0cp7se7uvvrjuuhdfulv4mgst5wraq4g
0xb82752be1c5ef8745b09193c750ce2c32711ea58c56ff2c080885e5a149f422e,18676378,1701250127,2023-11-29 09:28:47,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004916671618128054,14.8189661540897,2029.17,,,Receive Message,noble15epa2c9wjt90cluy2ykxqcx2qgtngxuzy4s3mn,dydx15epa2c9wjt90cluy2ykxqcx2qgtngxuz90tar2
0x877eb9199c706fab5836b525b7d7249e06617c5553950e6fd69f73b7cd8442dc,18676413,1701250559,2023-11-29 09:35:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.005076939608661536,15.3020177206297,2029.17,,,Receive Message,noble135gfvyr5wgu0ass8thdk29s06dnf34fde07ra8,dydx135gfvyr5wgu0ass8thdk29s06dnf34fdc49097
0x6d40fe92437a4456f1f9a3cc76170be6aea6b48ddb4b13f2b68e15d3b4c5d283,18676793,1701255131,2023-11-29 10:52:11,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004697707711348652,14.1590036885129,2029.17,,,Receive Message,noble19vf5mfr40awvkefw69nl6p3mmlsnacmmzynvce,dydx19vf5mfr40awvkefw69nl6p3mmlsnacmmr7gqqq
0xae0cca6a35ca8dccf93c50146114ff1ff7cf4dc4e2d343d4d6377607c61c73ab,18676815,1701255395,2023-11-29 10:56:35,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.005479824184667424,16.5163214934957,2029.17,,,Receive Message,noble1k6vtz5salf7ed9r90vfcamtxpxt6zvw9nj7vw8,dydx1k6vtz5salf7ed9r90vfcamtxpxt6zvw9jg9qk7
0x0ce347b0dad97e1a7b79df200eb714019ac21e8981d5d6e4aaecc1a414790023,18676817,1701255419,2023-11-29 10:56:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.00494162596462554,14.8941791528143,2029.17,,,Receive Message,noble19vf5mfr40awvkefw69nl6p3mmlsnacmmzynvce,dydx19vf5mfr40awvkefw69nl6p3mmlsnacmmr7gqqq
0xa77e3f9cd5ddc7c5514ec758b07d4aaa7b5e94b9ba340e51e8cd0365396440e8,18676940,1701256907,2023-11-29 11:21:47,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004754115785917797,14.3290189778756,2029.17,,,Receive Message,noble1e6hnwkh96wsknk2shekpps6qahznmf65d7msje,dydx1e6hnwkh96wsknk2shekpps6qahznmf65vyqu2q
0xe95504df7261ec90e0cc7ca9b0bae569db99d19e9a7b37ff38fd7015600d4b62,18677007,1701257711,2023-11-29 11:35:11,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.00430493756253796,12.9751850417475,2029.17,,,Receive Message,noble1ypvhqp607n7q2xjhc34cuesesag2ss276rahvs,dydx1ypvhqp607n7q2xjhc34cuesesag2ss27mexm5f
0x0dbeec7f4ae0a3f6a0c77fd65e1d6771d4a4e9c10d9c0034261c63ec8300f6d7,18677046,1701258179,2023-11-29 11:42:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004857507740298543,14.6406448076187,2029.17,,,Receive Message,noble1camelp2csqm9v98xzrjnxpz3aj6z07j5l9whft,dydx1camelp2csqm9v98xzrjnxpz3aj6z07j57l4m3j
0xf7660e0ec824e7f83672f35026a29e95abdf1f21573d312dcdde3f1e4f0362ef,18677184,1701259859,2023-11-29 12:10:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004348554461164044,13.1066474200977,2029.17,,,Receive Message,noble1camelp2csqm9v98xzrjnxpz3aj6z07j5l9whft,dydx1camelp2csqm9v98xzrjnxpz3aj6z07j57l4m3j
0xd8dce812e549c9887b4f8fd679661f8061fab796fce3bd7f01ae28c528d7f63b,18677566,1701264467,2023-11-29 13:27:47,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.006482829909191536,19.539404798323,2029.17,,,Receive Message,noble1e6hnwkh96wsknk2shekpps6qahznmf65d7msje,dydx1e6hnwkh96wsknk2shekpps6qahznmf65vyqu2q
0xbfc42b5a7e1d61061b63f99281be22c03d3940f388babecdc4abb921526f20f6,18677745,1701266615,2023-11-29 14:03:35,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.00509794518241098,15.365329023604,2029.17,,,Receive Message,noble1ax32rmtyraxnf76w3tcx6pmt7psdfgfdtcrftr,dydx1ax32rmtyraxnf76w3tcx6pmt7psdfgfd2zc9n6
0xd922439b7cb2d446f82a21ceaae36e5957d9b5bb4cfadcc65fb074f6ecfd9aad,18677952,1701269111,2023-11-29 14:45:11,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.007057855255209282,21.2725449797746,2029.17,,,Receive Message,noble14knpxn56qzlkw7qn5dv428jrgt3s0e4gxlycy2,dydx14knpxn56qzlkw7qn5dv428jrgt3s0e4g89l5un
0x0fbdbf0d37f50bbe899819729def45766be1fa72835906be9e3882c8465087c5,18678057,1701270383,2023-11-29 15:06:23,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.008205870568734846,24.7326906630426,2029.17,,,Receive Message,noble12p0ppvrldduaplsrg4u5xqkxpk4kgua98ka7d4,dydx12p0ppvrldduaplsrg4u5xqkxpk4kgua9xvxj4v
0xa02d668f1082710d872c28ac8f40450c99941330c084f6265e3f75bf53142d74,18678497,1701275759,2023-11-29 16:35:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.007245393185895704,21.8377887998425,2029.17,,,Receive Message,noble1p405mvdwmkhclgnvregfmspsjtd3cydhfw5d6l,dydx1p405mvdwmkhclgnvregfmspsjtd3cydhg50pzx
0xebe8270c42f1f8c11cc7ef7c7b817da70fd4f1f310f123907547e962c85d095b,18679607,1701289163,2023-11-29 20:19:23,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.006072041200334694,18.3012777795107,2029.17,,,Receive Message,noble1mapv2ahhkyac5jjwslntpcta92zvr6ha80yh8f,dydx1mapv2ahhkyac5jjwslntpcta92zvr6hax4lmls
0x89e2b6e4c3d651ff0d27dfa4f56e0722a8089df2a60ea897b2a622a0d1cffdfd,18680450,1701299339,2023-11-29 23:08:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.005973053802567651,18.0029273890183,2029.17,,,Receive Message,noble1ynj40udzqfnj69tla6v557nu6rc66e9v9hywhd,dydx1ynj40udzqfnj69tla6v557nu6rc66e9vydlz05
0x9ba7def5789aa631c1b289198df6f00ee266ab8803e3b54c5d2430d6e96efff2,18681347,1701310163,2023-11-30 02:09:23,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.005519699372228604,16.6365062649737,2052.93,,,Receive Message,noble1ynj40udzqfnj69tla6v557nu6rc66e9v9hywhd,dydx1ynj40udzqfnj69tla6v557nu6rc66e9vydlz05
0xa267c1080a2c222dcb16bb43c54b52c0366d5ba2607bb67aa9dbe58530901b1b,18681356,1701310271,2023-11-30 02:11:11,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.00578408115622928,17.4333593015724,2052.93,,,Receive Message,noble1wk6ah5kpjgyhgqqyxykssarg60jrdlv8dhmlda,dydx1wk6ah5kpjgyhgqqyxykssarg60jrdlv8vdqn4y
0xb4337bfa2e7f5e1bb9dde6155f844da460837201a62c9b230b37bb030d45c2db,18681366,1701310391,2023-11-30 02:13:11,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.0054964396967866,16.5664010454469,2052.93,,,Receive Message,noble1ynj40udzqfnj69tla6v557nu6rc66e9v9hywhd,dydx1ynj40udzqfnj69tla6v557nu6rc66e9vydlz05
0xb677bd94487c60e6d707745765df282edf0cf92935ccba349619e6f917044606,18681375,1701310499,2023-11-30 02:14:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.00523962872964465,15.7923666324013,2052.93,,,Receive Message,noble1ynj40udzqfnj69tla6v557nu6rc66e9v9hywhd,dydx1ynj40udzqfnj69tla6v557nu6rc66e9vydlz05
0xd011c38343c5b34aa1562c9c98e8453b6abe9574a3831366d2a2bb01cc3c0c97,18681390,1701310679,2023-11-30 02:17:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.00567062543592285,17.0914010400099,2052.93,,,Receive Message,noble1whusey8z9vtv8wcqeu9e8njhancxlptfkw3m7r,dydx1whusey8z9vtv8wcqeu9e8njhancxlptfh52hx6
0x4618b25eb7e1822b82584c686fcd0d8a9f2a85224131a983ed12a2c02e426958,18681823,1701315899,2023-11-30 03:44:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.006076400474197882,18.3144167354656,2052.93,,,Receive Message,noble188uyk45n4e4k3qh5xx8jxnf8zuvql08mfaja6z,dydx188uyk45n4e4k3qh5xx8jxnf8zuvql08mg8f3zm
0xd4cce0159774e7e78089b8c866420da6c1f946a8bff8aac0fcbc314427405766,18682056,1701318695,2023-11-30 04:31:35,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.005411368552732978,16.3099945773451,2052.93,,,Receive Message,noble135gfvyr5wgu0ass8thdk29s06dnf34fde07ra8,dydx135gfvyr5wgu0ass8thdk29s06dnf34fdc49097
0x236b80b6b60b1d9abe5692137de01d56c124123c354533d86b014c8f69dafc2b,18682097,1701319199,2023-11-30 04:39:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004901093483244408,14.7720132820017,2052.93,,,Receive Message,noble1nhqvejry62faefg5mk6y2tg88rrkzewu65fsl6,dydx1nhqvejry62faefg5mk6y2tg88rrkzewumwju8r
0xa64a9cdae11009d173f216f7d8984dc1bee92eecf0aff340d148bdf4bf65b524,18682147,1701319811,2023-11-30 04:50:11,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.00525311224641756,15.8330062752766,2052.93,,,Receive Message,noble1wp4atasfafg6kfadllnhffkjwhn98vkyh74m08,dydx1wp4atasfafg6kfadllnhffkjwhn98vkykywhh7
0xce60b7ea6a8be0ba1d9220293672f009f9f62d841204ad2e45515cd75abc1fb0,18682250,1701321047,2023-11-30 05:10:47,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.00427316504246828,12.879421904383,2052.93,,,Receive Message,noble1z98eg2ztdp2glyla62629nrlvczg8s7f8gwe4g,dydx1z98eg2ztdp2glyla62629nrlvczg8s7fxj44d3
0x1994094dd99ff01b396f912c7ab478154dfb3359740d586003b0540c1e32ae85,18682845,1701328199,2023-11-30 07:09:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004712255590922968,14.202851346394,2052.93,,,Receive Message,noble1qk5x2u5yfs5gw09nl4g8hj78n735zes76y7d0a,dydx1qk5x2u5yfs5gw09nl4g8hj78n735zes7m79phy
0x8f2709ce7749c55c944af2aa3eaec271555e712f731d0e0f29cbd0f618ac7b84,18683233,1701332903,2023-11-30 08:28:23,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004990613956228383,15.0418301341902,2052.93,,,Receive Message,noble167jkmzk887gasgqvpem365ss25l4fgj9hudk57,dydx167jkmzk887gasgqvpem365ss25l4fgj9kxk6v8
